threshold,precision,recall,f1,f2,fp,fn
0.18323232323232325,0.75,0.8152173913043478,0.78125,0.8012820512820513,25,17
0.18818181818181817,0.7575757575757576,0.8152173913043478,0.7853403141361257,0.8029978586723768,24,17
0.19313131313131313,0.78125,0.8152173913043478,0.7978723404255319,0.8081896551724138,21,17
0.19808080808080808,0.7789473684210526,0.8043478260869565,0.7914438502673797,0.7991360691144709,21,18
0.20303030303030303,0.7849462365591398,0.7934782608695652,0.7891891891891892,0.7917570498915402,20,19
0.207979797979798,0.7802197802197802,0.7717391304347826,0.7759562841530054,0.7734204793028322,20,21
0.21292929292929294,0.7888888888888889,0.7717391304347826,0.7802197802197802,0.7751091703056768,19,21
0.21787878787878787,0.7840909090909091,0.75,0.7666666666666667,0.756578947368421,19,23
0.22282828282828282,0.7840909090909091,0.75,0.7666666666666667,0.756578947368421,19,23
0.22777777777777777,0.8023255813953488,0.75,0.7752808988764045,0.7599118942731278,17,23
0.23272727272727273,0.8023255813953488,0.75,0.7752808988764045,0.7599118942731278,17,23
0.23767676767676768,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.7522123893805309,16,24
0.24262626262626263,0.8072289156626506,0.7282608695652174,0.7657142857142857,0.7427937915742794,16,25
0.24757575757575756,0.8170731707317073,0.7282608695652174,0.7701149425287356,0.7444444444444445,15,25
0.2525252525252525,0.8148148148148148,0.717391304347826,0.7630057803468208,0.734966592427617,15,26
0.25747474747474747,0.8148148148148148,0.717391304347826,0.7630057803468208,0.734966592427617,15,26
0.26242424242424245,0.810126582278481,0.6956521739130435,0.7485380116959064,0.7158836689038032,15,28
0.2673737373737374,0.8205128205128205,0.6956521739130435,0.7529411764705882,0.7174887892376681,14,28
0.2723232323232323,0.8205128205128205,0.6956521739130435,0.7529411764705882,0.7174887892376681,14,28
0.2772727272727273,0.8311688311688312,0.6956521739130435,0.757396449704142,0.7191011235955056,13,28
0.2822222222222222,0.8311688311688312,0.6956521739130435,0.757396449704142,0.7191011235955056,13,28
0.2871717171717172,0.84,0.6847826086956522,0.7544910179640718,0.7110609480812641,12,29
0.2921212121212121,0.8513513513513513,0.6847826086956522,0.7590361445783133,0.7126696832579186,11,29
0.29707070707070704,0.8493150684931506,0.6739130434782609,0.7515151515151515,0.7029478458049887,11,30
0.302020202020202,0.8493150684931506,0.6739130434782609,0.7515151515151515,0.7029478458049887,11,30
0.30696969696969695,0.8591549295774648,0.6630434782608695,0.7484662576687117,0.6947608200455581,10,31
0.31191919191919193,0.8571428571428571,0.6521739130434783,0.7407407407407407,0.684931506849315,10,32
0.31686868686868686,0.8571428571428571,0.6521739130434783,0.7407407407407407,0.684931506849315,10,32
0.32181818181818184,0.8695652173913043,0.6521739130434783,0.7453416149068323,0.6864988558352403,9,32
0.32676767676767676,0.8695652173913043,0.6521739130434783,0.7453416149068323,0.6864988558352403,9,32
0.3317171717171717,0.8823529411764706,0.6521739130434783,0.75,0.6880733944954128,8,32
0.33666666666666667,0.8823529411764706,0.6521739130434783,0.75,0.6880733944954128,8,32
0.3416161616161616,0.8823529411764706,0.6521739130434783,0.75,0.6880733944954128,8,32
0.3465656565656566,0.8823529411764706,0.6521739130434783,0.75,0.6880733944954128,8,32
0.3515151515151515,0.8805970149253731,0.6413043478260869,0.7421383647798742,0.6781609195402298,8,33
0.3564646464646465,0.8805970149253731,0.6413043478260869,0.7421383647798742,0.6781609195402298,8,33
0.3614141414141414,0.8805970149253731,0.6413043478260869,0.7421383647798742,0.6781609195402298,8,33
0.36636363636363634,0.8805970149253731,0.6413043478260869,0.7421383647798742,0.6781609195402298,8,33
0.3713131313131313,0.8939393939393939,0.6413043478260869,0.7468354430379747,0.6797235023041475,7,33
0.37626262626262624,0.8939393939393939,0.6413043478260869,0.7468354430379747,0.6797235023041475,7,33
0.3812121212121212,0.9206349206349206,0.6304347826086957,0.7483870967741936,0.6728538283062645,5,34
0.38616161616161615,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.3911111111111111,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.39606060606060606,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.401010101010101,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.40595959595959596,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.4109090909090909,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.41585858585858587,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.4208080808080808,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.4257575757575757,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.4307070707070707,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.43565656565656563,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.4406060606060606,0.9354838709677419,0.6304347826086957,0.7532467532467533,0.6744186046511628,4,34
0.44555555555555554,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.4505050505050505,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
0.45545454545454545,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.6643356643356644,4,35
