Feature,logOR,SE,Wald_p,OR,OR_lo,OR_hi,OR_lo_boot,OR_hi_boot,Domain model,n,events,pseudo_R2,LR_vs_null,LR_p
Men,0.38085625697876263,0.25452170473085783,0.13455970472975604,1.463537217027891,0.8886986142158454,2.4101997587964212,0.918046377831806,2.545220125130798,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
Current smoker,0.07981628049669262,0.22513916606200698,0.722949406799535,1.0830880649938426,0.6966665595173677,1.6838467994570965,0.7184256303306339,1.6869937558635604,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
Current drinking,-0.046153590428223985,0.31480135428791334,0.8834384462200736,0.9548952881509225,0.5152243165068825,1.7697631538721308,0.4798340954627161,1.6884453090798586,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
1.1:1Post dilation,-2.0449609081132776,0.3032040330136117,1.535503299053799e-11,0.1293852477919609,0.07141624655115544,0.23440803955155887,0.06345241303792616,0.23029746669483966,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
PES,0.7126910662664568,0.40177427843128316,0.0760864156772412,2.039472235437342,0.9279549901428591,4.482380118974779,1.0870902707958243,6.195930707075841,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
ZES,-0.09756367024669438,0.5115359599028708,0.8487395587532982,0.90704458796455,0.33281925023509545,2.4720020971582137,0.2906339983671417,3.2066849384343916,Procedural / stent,5185,92,0.09728799916336273,89.91331407805876,1.6945939406281454e-15
Age,0.07957236858874726,0.10778293573000065,0.460353433306124,1.0828239191329072,0.8766229561818885,1.3375278751005784,0.8626727586085127,1.39039004462959,Cardiac function,5185,92,0.11496720429875551,106.25238917117281,1.2402809018012386e-20
LV,1.0274508319814966,0.09970950161397688,6.728060192650879e-25,2.7939345405507767,2.29796465812355,3.396949639450454,2.2954774256378436,3.4224913075634764,Cardiac function,5185,92,0.11496720429875551,106.25238917117281,1.2402809018012386e-20
LVEF,0.42977440050723636,0.09431111667233566,5.189298053401051e-06,1.5369107581472419,1.277529338625141,1.8489553289248,1.3167851013783602,1.7858263581366591,Cardiac function,5185,92,0.11496720429875551,106.25238917117281,1.2402809018012386e-20
Men,0.0737610941961545,0.2568496539882141,0.7739774487598097,1.076549580828223,0.6507335740051895,1.7810038490071516,0.6639959581233305,1.8536674918723444,Cardiac function,5185,92,0.11496720429875551,106.25238917117281,1.2402809018012386e-20
